iter	Passed	Remaining
0	110	221537
1	192	192217
2	262	175030
3	362	181122
4	467	186640
5	576	191727
6	671	191211
7	745	185567
8	927	205195
9	1093	217681
10	1183	214068
11	1263	209272
12	1337	204390
13	1426	202367
14	1528	202324
15	1674	207690
16	1748	203993
17	1858	204644
18	1971	205547
19	2083	206217
20	2165	204067
21	2247	202090
22	2328	200166
23	2407	198240
24	2486	196433
25	2568	194988
26	2656	194132
27	2735	192628
28	2824	191993
29	2902	190606
30	2987	189767
31	3069	188795
32	3142	187317
33	3233	186949
34	3313	186021
35	3393	185152
36	3487	185012
37	3600	185893
38	3694	185742
39	3780	185244
40	3853	184113
41	3929	183193
42	4004	182243
43	4079	181342
44	4151	180379
45	4223	179412
46	4311	179157
47	4394	178710
48	4468	177906
49	4552	177547
50	4628	176867
51	4704	176252
52	4787	175881
53	4864	175317
54	4946	174936
55	5033	174740
56	5104	174016
57	5179	173436
58	5256	172922
59	5344	172820
60	5437	172828
61	5512	172301
62	5590	171880
63	5669	171497
64	5750	171198
65	5876	172200
66	5957	171887
67	6034	171450
68	6106	170887
69	6181	170426
70	6253	169902
71	6358	170264
72	6438	169950
73	6512	169505
74	6606	169577
75	6735	170511
76	6821	170350
77	6900	170035
78	6980	169734
79	7067	169630
80	7149	169374
81	7235	169232
82	7318	169027
83	7396	168700
84	7483	168591
85	7562	168303
86	7633	167846
87	7744	168275
88	7884	169286
89	8005	169903
90	8082	169552
91	8155	169145
92	8233	168837
93	8305	168401
94	8379	168032
95	8457	167738
96	8533	167413
97	8610	167114
98	8685	166785
99	8770	166642
100	8876	166889
101	8971	166940
102	9052	166718
103	9125	166371
104	9201	166065
105	9278	165781
106	9354	165497
107	9430	165208
108	9504	164881
109	9588	164741
110	9665	164481
111	9743	164252
112	9861	164671
113	9940	164455
